
org.videolan.vlc.gui.network.StreamsFragmentDelegate -> org.videolan.vlc.gui.video.VideoPlayerActivity

org.videolan.vlc.viewmodels.PlaylistModel -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.viewmodels.PlaylistModel -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.viewmodels.PlaylistModel -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.viewmodels.PlaylistModel -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.viewmodels.PlaylistModel -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.viewmodels.PlaylistModel -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.viewmodels.PlaylistModel -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.viewmodels.PlaylistModel -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.viewmodels.PlaylistModel -> org.videolan.vlc.gui.video.VideoPlayerActivity

org.videolan.vlc.gui.video.VideoDelayDelegate -> org.videolan.vlc.gui.dialogs.PlaybackSpeedDialog
org.videolan.vlc.gui.video.VideoDelayDelegate -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.video.VideoDelayDelegate -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.video.VideoDelayDelegate -> org.videolan.vlc.gui.dialogs.RenderersDialog
org.videolan.vlc.gui.video.VideoDelayDelegate -> org.videolan.vlc.gui.dialogs.SleepTimerDialog
org.videolan.vlc.gui.video.VideoDelayDelegate -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 

org.videolan.vlc.gui.browser.ExtensionBrowser -> interICC_android.intent.action.VIEW, 
org.videolan.vlc.gui.browser.ExtensionBrowser -> interICC_org.videolan.vlc.Extension, 

org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.SecondaryActivity
org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.HeaderMediaListActivity
org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.InfoActivity
org.videolan.vlc.gui.audio.AudioBrowserFragment -> interICC_new org.videolan.vlc.util.Permissions
org.videolan.vlc.gui.audio.AudioBrowserFragment -> interICC_android.settings.MANAGE_APP_ALL_FILES_ACCESS_PERMISSION, 
org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.dialogs.ConfirmDeleteDialog
org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.dialogs.SavePlaylistDialog
org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.dialogs.ContextSheet
org.videolan.vlc.gui.audio.AudioBrowserFragment -> org.videolan.vlc.gui.SecondaryActivity

org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.browser.VerticalGridActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.DetailsActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.browser.VerticalGridActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.AboutActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.audioplayer.AudioPlayerActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.details.MediaListActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.browser.TVActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.vlc.gui.DialogActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.audioplayer.AudioPlayerActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.preferences.PreferencesActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.browser.VerticalGridActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.vlc.RecommendationsService
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.SearchActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.browser.VerticalGridActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.television.ui.audioplayer.AudioPlayerActivity
org.videolan.television.ui.MainTvFragment -> org.videolan.vlc.gui.video.VideoPlayerActivity

org.videolan.vlc.gui.AudioPlayerContainerActivity -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.AudioPlayerContainerActivity -> org.videolan.vlc.gui.audio.EqualizerFragment
org.videolan.vlc.gui.AudioPlayerContainerActivity -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.AudioPlayerContainerActivity -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 

org.videolan.vlc.databinding.ExtensionItemViewBindingImpl -> interICC_org.videolan.vlc.Extension, 

org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.dialogs.SleepTimerDialog
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.StartActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_android.media.action.CLOSE_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.MainActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_android.media.action.OPEN_AUDIO_EFFECT_CONTROL_SESSION, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.dialogs.PlaybackSpeedDialog
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, org.videolan.vlc.CustomAction, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> interICC_SwitchToVideo, 
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.television.ui.audioplayer.AudioPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.video.VideoPlayerActivity
org.videolan.vlc.gui.video.VideoPlayerActivity -> org.videolan.vlc.gui.dialogs.RenderersDialog
